no,id,parent_id,theme,confidence,status,headline_hi,headline_en,question_hi,question_en,rti_ref,permalink,sources
7,10,,mla-accountability,C,verified,"विधानसभा कितने दिन चली, कहीं नहीं छपता",Assembly sitting days are published nowhere,"2017 से अब तक उत्तराखंड विधानसभा हर साल कितने दिन चली? हर विधायक ने कितने सवाल पूछे, और कितने दिन सदन में मौजूद रहे?","How many days has the Uttarakhand Vidhan Sabha sat in each year since 2017? How many questions has each MLA asked, and on how many days were they present?",RTI-06,https://70sawal.github.io/q/10/,Official website: Uttarakhand Vidhan Sabha <https://ukvidhansabha.uk.gov.in/>
8,11,,governance,A,verified,"एक कार्यकाल, तीन मुख्यमंत्री","One term, three chief ministers","2017 से 2022 के एक ही कार्यकाल में उत्तराखंड को तीन मुख्यमंत्री मिले, त्रिवेंद्र सिंह रावत, तीरथ सिंह रावत (सिर्फ़ चार महीने), और पुष्कर सिंह धामी। जिस राज्य को स्थिर सरकार चाहिए, वहाँ यह अस्थिरता क्यों?","In the single 2017–2022 term Uttarakhand had three chief ministers, Trivendra Singh Rawat, Tirath Singh Rawat (four months), and Pushkar Singh Dhami. Why such instability in a state that needs continuity of governance?",,https://70sawal.github.io/q/11/,
9,12,,rozgaar,A,verified,"पेपर लीक और पलायन, एक ही कहानी",Paper leaks and migration are one story,"जब पहाड़ का नौजवान परीक्षा देता है और पेपर लीक हो जाता है, तो वह अगली बार परीक्षा नहीं, ट्रेन पकड़ता है। पेपर लीक और पलायन, क्या सरकार मानती है कि इन दोनों का आपस में कोई रिश्ता है?","When a young person from the hills sits an exam and the paper leaks, the next thing they board is not another exam hall but a train out. Does the government accept that paper leaks and out-migration are connected?",,https://70sawal.github.io/q/12/,
10,13,,health,A,verified,पहाड़ में 70% विशेषज्ञ डॉक्टर के पद ख़ाली,70% of specialist doctor posts vacant in the hills,"CAG की अपनी रिपोर्ट कहती है कि उत्तराखंड के नौ पहाड़ी ज़िलों में विशेषज्ञ डॉक्टरों के 704 स्वीकृत पदों में से 491 पद ख़ाली हैं, यानी 70% कमी। मैदानी ज़िलों में यह कमी 50% है। पहाड़ का मरीज़ आख़िर जाए तो जाए कहाँ?","The CAG's own audit records that in Uttarakhand's nine hill districts, 491 of 704 sanctioned specialist doctor posts are vacant, a 70% shortfall, against 50% in the plains districts. Where exactly is a patient in the hills supposed to go?",RTI-04,https://70sawal.github.io/q/13/,"Comptroller and Auditor General of India: CAG Report No. 3 of 2024 — Public Health Infrastructure & Management of Health Services, Uttarakhand <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024_PA-on-PHIMHS-GoUK_English-067b7164ba564a0.20810756.pdf>"
10.1,14,13,health,A,verified,चमोली में 75% तक नर्सों की कमी,Up to 75% of nurse posts vacant in Chamoli,"CAG के मुताबिक पहाड़ी ज़िलों में स्टाफ़ नर्सों की कमी पिथौरागढ़ में 57% से लेकर चमोली में 75% तक है। जिस अस्पताल में नर्स ही नहीं, वहाँ इलाज कौन करेगा?",The CAG records staff nurse shortfalls in hill districts ranging from 57% in Pithoragarh to 75% in Chamoli. Who provides care in a hospital that has no nurses?,RTI-04,https://70sawal.github.io/q/13/,"Comptroller and Auditor General of India: CAG Report No. 3 of 2024 — Public Health Infrastructure & Management of Health Services, Uttarakhand <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024_PA-on-PHIMHS-GoUK_English-067b7164ba564a0.20810756.pdf>"
11,15,,health,A,verified,"सरकार ने माना, समिति बनी, रिपोर्ट कहाँ है?","The government agreed, formed a committee. Where is its report?","सरकार ने नवंबर 2022 में CAG के सामने ये तथ्य स्वीकार किए और कहा कि विशेषज्ञ डॉक्टरों का अलग कैडर बनाने के लिए एक समिति बना दी गई है। उस समिति की रिपोर्ट कहाँ है, और उसकी कितनी सिफ़ारिशें लागू हुईं?","In November 2022 the government accepted these findings before the CAG and said a committee had been constituted to create a separate specialist cadre. Where is that committee's report, and how many of its recommendations were implemented?",RTI-04,https://70sawal.github.io/q/15/,"Comptroller and Auditor General of India: CAG Report No. 3 of 2024 — Public Health Infrastructure & Management of Health Services, Uttarakhand <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024_PA-on-PHIMHS-GoUK_English-067b7164ba564a0.20810756.pdf>"
12,16,,health,B,verified,मेडिकल कॉलेजों में 64% फ़ैकल्टी नहीं,64% faculty shortage in government medical colleges,"एक और CAG रिपोर्ट के मुताबिक उत्तराखंड के सरकारी मेडिकल कॉलेजों में फ़ैकल्टी की कमी 64% है। जब पढ़ाने वाले ही नहीं हैं, तो पहाड़ के लिए डॉक्टर तैयार कौन करेगा?","A further CAG report records a 64% faculty shortage in Uttarakhand's government medical colleges. With no one to teach, who is going to train the doctors the hills need?",,https://70sawal.github.io/q/16/,Careers360: CAG report on medical colleges: Uttarakhand faculty shortage 64% <https://news.careers360.com/government-medical-college-teacher-shortage-cag-report-2025-mamc-autch-delhi-nursing-ayush-gmc-haldwani-gdmcuk-rnt-udaipur-nmc/amp>
13,17,,education,B,verified,"1,400 स्कूलों में एक भी बच्चा नहीं","1,400 schools have not a single child","राज्य में 1,552 स्कूल बंद हो चुके हैं, और लगभग 12,000 प्राथमिक सरकारी स्कूलों में से क़रीब 1,400 में एक भी बच्चा दाख़िल नहीं है। हज़ारों में दस से भी कम बच्चे हैं। ये स्कूल बंद क्यों हुए, और सरकार ने रोकने के लिए क्या किया?","1,552 schools in the state have closed, and of roughly 12,000 government primary schools about 1,400 have zero enrolment, with thousands more running on fewer than ten children. Why did these schools empty, and what did the government do to stop it?",RTI-04,https://70sawal.github.io/q/17/,"Centre of Excellence for Himalayan Studies, Shiv Nadar University: The Growing Silences in Uttarakhand's Classrooms, and Why It Matters <https://snu.edu.in/centres/centre-of-excellence-for-himalayan-studies/research/the-growing-silences-in-uttarakhands-classrooms-and-why-it-matters/en/> | Garhwal Post: How Education Failure is Emptying Uttarakhand's Mountains <https://garhwalpost.in/how-education-failure-is-emptying-uttarakhands-mountains/>"
13.1,75,17,education,B,verified,"एक तरफ़ भर्ती के विज्ञापन, दूसरी तरफ़ एक शिक्षक वाले स्कूल","Recruitment advertised on one side, single-teacher schools on the other","2024 में सहायक अध्यापक (LT) के 1,544 पदों के लिए भर्ती निकाली गई. उधर पहाड़ के कई स्कूलों में एक ही शिक्षक कई कक्षाएँ पढ़ा रहा है और 1,400 स्कूलों में एक भी बच्चा नहीं बचा. सवाल: राज्य में शिक्षकों के कुल स्वीकृत पद कितने हैं, कितने भरे हैं, और पहाड़ी ज़िलों में यह अनुपात क्या है?","Recruitment for 1,544 assistant teacher (LT) posts was advertised in 2024. Meanwhile a single teacher handles multiple grades in many hill schools, and 1,400 schools have no children left. How many teaching posts are sanctioned in the state, how many are filled, and what is that ratio in the hill districts?",RTI-04,https://70sawal.github.io/q/17/,"Careers360: UKSSSC assistant teacher recruitment 2024: registration opens for 1,544 vacancies <https://news.careers360.com/uksssc-assistant-teacher-recruitment-2024-registration-opens-for-1544-vacancies-on-march-22-elegibility>"
14,18,,education,B,verified,पिथौरागढ़ में एक साल में 21 स्कूल बंद,21 schools closed in Pithoragarh in one year,"अकेले 2023-24 में पिथौरागढ़ में 21 स्कूल बंद हुए, कारण बताया गया 'बच्चे कम' और 'गाँवों से पलायन'। देहरादून ज़िले में 24 स्कूल शून्य दाख़िले के बाद बंद हुए। यानी सरकार ख़ुद मानती है कि पलायन की वजह से स्कूल बंद हो रहे हैं। फिर पलायन रोकने का काम कहाँ है?","In 2023-24 alone, 21 schools closed in Pithoragarh, the stated reasons being 'fewer children' and 'migration from villages', and 24 closed in Dehradun district after zero enrolment. The government therefore accepts that migration is closing schools. So where is the work to stop the migration?",,https://70sawal.github.io/q/18/,"Centre of Excellence for Himalayan Studies, Shiv Nadar University: The Growing Silences in Uttarakhand's Classrooms, and Why It Matters <https://snu.edu.in/centres/centre-of-excellence-for-himalayan-studies/research/the-growing-silences-in-uttarakhands-classrooms-and-why-it-matters/en/>"
15,19,,education,B,verified,"कहीं ज़रूरत से ज़्यादा शिक्षक, कहीं एक ही","Surplus teachers in some schools, one teacher in others",कुछ स्कूलों में ज़रूरत से ज़्यादा शिक्षक हैं और कुछ में एक ही शिक्षक कई कक्षाएँ पढ़ा रहा है। शिक्षकों की तैनाती का यह असंतुलन नौ साल में ठीक क्यों नहीं हुआ?,Some schools carry surplus teachers while others run with a single teacher handling multiple grades. Why has this imbalance in teacher deployment not been fixed in nine years?,RTI-04,https://70sawal.github.io/q/19/,"Centre of Excellence for Himalayan Studies, Shiv Nadar University: The Growing Silences in Uttarakhand's Classrooms, and Why It Matters <https://snu.edu.in/centres/centre-of-excellence-for-himalayan-studies/research/the-growing-silences-in-uttarakhands-classrooms-and-why-it-matters/en/>"
16,20,,disaster,B,verified,"जोशीमठ: 20,000 प्रभावित, 700+ इमारतों में दरार","Joshimath: 20,000 affected, 700+ buildings cracked","जनवरी 2023 में जोशीमठ धँसने से क़रीब 20,000 लोग प्रभावित हुए और 700 से ज़्यादा इमारतों में दरारें आईं। आज तक कितने परिवारों का पूरा पुनर्वास हुआ है?","The January 2023 Joshimath subsidence directly affected around 20,000 people and damaged more than 700 buildings. How many families have been fully rehabilitated to date?",,https://70sawal.github.io/q/20/,"The Wire: Joshimath subsidence victims resume agitation after government's failure to address issues <https://m.thewire.in/article/science/joshimath-land-subsidence-victims-resume-agitation-after-govts-failure-to-address-issues/amp> | Down To Earth: Joshimath evacuees return to unsafe, damaged homes — rehabilitation policy non-existent after 16 months <https://www.downtoearth.org.in/urbanisation/joshimath-evacuees-return-to-their-unsafe-damaged-homes-even-as-rehabilitation-policy-non-existent-after-16-months-95538>"
16.1,21,20,disaster,B,verified,"20,000 प्रभावित, मुआवज़ा 31 परिवारों को","20,000 affected, settlements paid to 31 families","मार्च 2023 तक जोशीमठ पुनर्वास नीति के तहत सिर्फ़ 31 परिवारों को एकमुश्त मुआवज़ा (कुल 8.3 करोड़ रुपये) दिया गया था, और राहत सिर्फ़ 10% प्रभावित परिवारों तक पहुँची थी। बाकी 90% का क्या हुआ?","By March 2023, one-time settlements under the Joshimath rehabilitation policy had reached just 31 families (Rs 8.3 crore in total), and relief had reached only 10% of affected families. What happened to the other 90%?",,https://70sawal.github.io/q/20/,The Wire: Joshimath subsidence victims resume agitation after government's failure to address issues <https://m.thewire.in/article/science/joshimath-land-subsidence-victims-resume-agitation-after-govts-failure-to-address-issues/amp>
17,22,,disaster,B,verified,16 महीने तक पुनर्वास नीति ही नहीं बनी,No rehabilitation policy for sixteen months,"आपदा के 16 महीने बाद भी जोशीमठ के लिए कोई पुनर्वास नीति मौजूद नहीं थी, और लोग मजबूरी में अपने दरार पड़े, असुरक्षित घरों में लौट गए। वह नीति आज कहाँ है?","Sixteen months after the disaster there was still no rehabilitation policy in place for Joshimath, and residents returned to their cracked, unsafe homes out of sheer necessity. Where is that policy today?",,https://70sawal.github.io/q/22/,"Down To Earth: Joshimath evacuees return to unsafe, damaged homes — rehabilitation policy non-existent after 16 months <https://www.downtoearth.org.in/urbanisation/joshimath-evacuees-return-to-their-unsafe-damaged-homes-even-as-rehabilitation-policy-non-existent-after-16-months-95538>"
18,23,,budget,A,verified,हर रुपये में 60 पैसे पहले से तय,Sixty paise of every rupee is already committed,"2025-26 में उत्तराखंड अपनी राजस्व प्राप्तियों का 60% सिर्फ़ प्रतिबद्ध ख़र्च पर लगाएगा, वेतन 33%, पेंशन 16%, ब्याज 11%। यानी हर रुपये में से 60 पैसे पहले ही तय हैं। बाकी 40 पैसे में सड़क, स्कूल, अस्पताल, सब कैसे बनेगा?","In 2025-26 Uttarakhand will spend 60% of its revenue receipts on committed expenditure alone, 33% salaries, 16% pensions, 11% interest. Sixty paise of every rupee is spoken for before anything is built. How do roads, schools and hospitals come out of the remaining forty?",,https://70sawal.github.io/q/23/,PRS Legislative Research: Uttarakhand Budget Analysis 2025-26 <https://prsindia.org/files/budget/budget_state/uttarakhand/2025/Uttarakhand_Budget_Analysis_2025-26.pdf>
19,24,,budget,A,verified,"GSDP का 24.2% क़र्ज़, ₹26,006 करोड़ चुकाने हैं","Debt at 24.2% of GSDP, Rs 26,006 crore due","2024-25 के अंत तक राज्य की बकाया देनदारियाँ GSDP का लगभग 24.2% अनुमानित थीं, और 2025-26 में राज्य को 26,006 करोड़ रुपये का क़र्ज़ चुकाना है। यह क़र्ज़ किन परियोजनाओं पर ख़र्च हुआ, और उनमें से कितनी पूरी हुईं?","Outstanding liabilities were estimated at about 24.2% of GSDP by the end of 2024-25, and the state must repay Rs 26,006 crore of debt in 2025-26. Which projects was this borrowing spent on, and how many of them were completed?",,https://70sawal.github.io/q/24/,PRS Legislative Research: Uttarakhand Budget Analysis 2024-25 <https://prsindia.org/budgets/states/uttarakhand-budget-analysis-2024-25> | PRS Legislative Research: Uttarakhand Budget Analysis 2025-26 <https://prsindia.org/files/budget/budget_state/uttarakhand/2025/Uttarakhand_Budget_Analysis_2025-26.pdf>
20,25,,palayan,A,verified,"डॉक्टर नहीं, स्कूल नहीं, इसलिए गाँव खाली","No doctors, no schools, so the villages empty","पलायन आयोग ख़ुद कहता है कि 15% लोग शिक्षा की कमी से और 8% इलाज की कमी से गाँव छोड़ते हैं। CAG कहता है पहाड़ में 70% विशेषज्ञ डॉक्टर के पद ख़ाली हैं। और 1,400 स्कूलों में एक भी बच्चा नहीं बचा। ये तीन अलग-अलग ख़बरें नहीं हैं, ये एक ही कहानी है। सरकार इसे एक कहानी कब मानेगी?","The Migration Commission says 15% leave for lack of education and 8% for lack of healthcare. The CAG says 70% of specialist doctor posts in the hills are vacant. And 1,400 schools have no children left. These are not three separate news stories, they are one story. When will the government treat it as one?",,https://70sawal.github.io/q/25/,"Comptroller and Auditor General of India: CAG Report No. 3 of 2024 — Public Health Infrastructure & Management of Health Services, Uttarakhand <https://cag.gov.in/webroot/uploads/download_audit_report/2024/Report-No.-3-of-2024_PA-on-PHIMHS-GoUK_English-067b7164ba564a0.20810756.pdf> | Centre of Excellence for Himalayan Studies, Shiv Nadar University: The Growing Silences in Uttarakhand's Classrooms, and Why It Matters <https://snu.edu.in/centres/centre-of-excellence-for-himalayan-studies/research/the-growing-silences-in-uttarakhands-classrooms-and-why-it-matters/en/>"
21,26,,vaada,A,verified,"वादा दिसंबर 2022 का, हक़ीक़त 2027","Promised December 2022, the reality is 2027","भाजपा के 2022 के दृष्टि पत्र में लिखा था कि चारधाम हाईवे दिसंबर 2022 तक पूरा हो जाएगा। उसी परियोजना की सिलक्यारा सुरंग अब 2027 की शुरुआत में खुलने की बात है। वादा दिसंबर 2022 का था, हक़ीक़त 2027 है। चार साल की देरी का हिसाब कौन देगा?",The BJP's 2022 Drishti Patra promised the Char Dham highway would be complete by December 2022. The Silkyara tunnel on that same project is now expected to open in early 2027. The promise said December 2022; the reality is 2027. Who accounts for the four-year gap?,,https://70sawal.github.io/q/26/,"Bharatiya Janata Party: Uttarakhand Drishti Patra 2022 — BJP election manifesto (official PDF) <https://www.bjp.org/files/election-manifesto-documents/Manifesto%20English%20UK_2.pdf> | Asianet Newsable: BJP's 'Drishti Patra 2022' promises jobs, increased pension and more <https://newsable.asianetnews.com/india/uttarakhand-election-2022-bjp-drishti-patra-2022-promises-jobs-increased-pension-and-more-gcw-r71kv0> | ETV Bharat: Silkyara tunnel, where 41 workers were trapped after 2023 landslide, to open early 2027 <https://www.etvbharat.com/en/bharat/silkyara-tunnel-in-uttarkashi-where-41-workers-were-trapped-after-2023-landslide-to-open-early-2027-enn26020904299>"
21.1,27,26,infrastructure,B,verified,"889 किमी की परियोजना, 53 टुकड़ों में बँटी","An 889 km project, split into 53 pieces","12,000 करोड़ रुपये की चारधाम परियोजना में 825 किलोमीटर हाईवे चौड़ा किया जाना था। आरोप है कि पर्यावरण प्रभाव आकलन (EIA) से बचने के लिए इसे 53 छोटे-छोटे हिस्सों में बाँट दिया गया। अगर काम सही था, तो उसे 53 टुकड़ों में बाँटने की ज़रूरत क्यों पड़ी?","The Rs 12,000 crore Char Dham project involved widening 825 km of highway. It is alleged the project was split into 53 smaller parts to avoid a full environmental impact assessment. If the work was sound, why did it need to be divided into 53 pieces?",,https://70sawal.github.io/q/26/,Mongabay India: Risky development in Uttarakhand: interview with environmentalist Ravi Chopra <https://news.mongabay.com/2024/02/risky-development-in-uttarakhand-interview-with-environmentalist-ravi-chopra/> | NewsClick: Noted environmentalist red-flags Char Dham project dangers <https://www.newsclick.in/noted-environmentalist-red-flags-char-dham-project-dangers>
21.2,28,26,infrastructure,A,verified,"41 मज़दूर, 17 दिन, फिर क्या बदला?","41 workers, 17 days, and then what changed?","12 नवंबर 2023 को सिलक्यारा सुरंग धँस गई और 41 मज़दूर 17 दिन तक अंदर फँसे रहे। उस हादसे के बाद उत्तराखंड की सुरंग परियोजनाओं में सुरक्षा जाँच के कौन से नए नियम लागू किए गए, और किसने उनका पालन जाँचा?","On 12 November 2023 the Silkyara tunnel collapsed and 41 workers were trapped inside for 17 days. What new safety-inspection rules were actually put in place for Uttarakhand's tunnel projects after that, and who has checked they are being followed?",,https://70sawal.github.io/q/26/,"ETV Bharat: Silkyara tunnel, where 41 workers were trapped after 2023 landslide, to open early 2027 <https://www.etvbharat.com/en/bharat/silkyara-tunnel-in-uttarkashi-where-41-workers-were-trapped-after-2023-landslide-to-open-early-2027-enn26020904299> | The Wire: Worker killed as part of Silkyara-Barkot tunnel concrete lining collapses <https://m.thewire.in/article/environment/silkyara-barkot-tunnel-concrete-lining-collapse-kills-worker/amp>"
